currency,asset,exchange,strategy,profit,profit daily,yearly profit,market change,profit-market,trade amount,trades daily,wining trades,losses trades,candle size,warmup period,backtest start,dataset from,dataset to,strategy config,,,,,,,,,,,
BTC,VEN,binance,aroon_public,79%,39.50%,467%,619%,-540,58,29,NA,NA,10,73,2018-02-27 00:53:29,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BNB,OST,binance,aroon_public,86%,43.00%,511%,-57%,143,76,38,NA,NA,10,73,2018-02-27 01:19:23,2017-12-20 00:00:00,2018-02-19 23:53:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
USDT,NEO,binance,aroon_public,92%,46.00%,543%,96%,-4,140,70,NA,NA,5,144,2018-03- 2 16:59:22,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
USDT,NEO,binance,aroon_public,97%,48.50%,576%,96%,1,76,38,NA,NA,10,73,2018-02-27 00:11:56,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BTC,GAME,poloniex,BB,-79%,-39.50%,-467%,53%,-132,642,321,NA,NA,10,73,2018-02-27 01:16:34,2017-12-20 00:00:00,2018-02-19 23:57:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BTC,DGB,poloniex,BB,-91%,-45.50%,-539%,72%,-163,624,312,NA,NA,10,73,2018-02-27 00:08:18,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BTC,DGB,poloniex,BB,-97%,-48.50%,-574%,72%,-169,1364,682,NA,NA,5,144,2018-03- 1 01:44:54,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
EUR,XMR,kraken,BB,-68%,-34.00%,-401%,-18%,-50,497,248.5,NA,NA,10,73,2018-02-27 01:03:45,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
ETH,ICN,kraken,BB,-94%,-47.00%,-555%,-26%,-68,623,311.5,NA,NA,10,73,2018-02-27 00:49:03,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
USD,ETP,bitfinex,BB,-68%,-34.00%,-404%,-50%,-18,548,274,NA,NA,10,73,2018-02-26 23:54:39,2017-12-19 22:55:00,2018-02-19 23:43:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
USD,DAT,bitfinex,BB,-87%,-43.50%,-515%,-50%,-37,1060,530,NA,NA,5,144,2018-03- 1 01:45:02,2017-12-19 23:17:00,2018-02-19 23:56:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
USD,DAT,bitfinex,BB,-91%,-45.50%,-539%,-50%,-41,566,283,NA,NA,10,73,2018-02-26 23:54:43,2017-12-19 23:17:00,2018-02-19 23:56:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
USD,ETP,bitfinex,BB,-92%,-46.00%,-547%,-50%,-42,1099,549.5,NA,NA,5,144,2018-03- 1 01:44:56,2017-12-19 22:55:00,2018-02-19 23:43:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
USD,RRT,bitfinex,BB,-95%,-47.50%,-560%,-69%,-26,791,395.5,NA,NA,5,144,2018-03- 1 01:44:57,2017-12-19 19:20:00,2018-02-19 23:24:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
USD,RRT,bitfinex,BB,-97%,-48.50%,-575%,-69%,-28,477,238.5,NA,NA,10,73,2018-02-26 23:54:29,2017-12-19 19:20:00,2018-02-19 23:24:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
USDT,NEO,binance,BB,-27%,-13.50%,-164%,96%,-123,458,229,NA,NA,10,73,2018-02-27 00:22:36,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BTC,ETC,binance,BB,-30%,-15.00%,-179%,59%,-89,502,251,NA,NA,10,73,2018-02-27 00:22:29,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BTC,VEN,binance,BB,-30%,-15.00%,-179%,619%,-649,453,226.5,NA,NA,10,73,2018-02-27 01:03:56,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BTC,XRP,binance,BB,-45%,-22.50%,-265%,133%,-178,860,430,NA,NA,5,144,2018-03- 1 01:44:54,2017-12-20 00:00:00,2018-02-19 23:59:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
